species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
Adelie,Torgersen,39.1,18.7,181,3750
Adelie,Torgersen,39.5,17.4,186,3800
Adelie,Torgersen,40.3,18.0,195,3250
Chinstrap,Dream,46.5,17.9,192,3500
Chinstrap,Dream,50.0,19.5,196,3900
Chinstrap,Dream,51.3,18.7,193,3650
Gentoo,Biscoe,46.1,14.5,211,4500
Gentoo,Biscoe,50.0,15.2,216,5000
Gentoo,Biscoe,48.7,16.0,220,4800
Adelie,Dream,38.5,17.9,190,3450
Adelie,Dream,37.8,18.3,182,3700
Adelie,Dream,39.2,19.0,186,3900
Chinstrap,Torgersen,47.8,18.3,194,3550
Chinstrap,Torgersen,48.1,17.8,190,3600
Chinstrap,Torgersen,49.0,18.5,197,3800
Gentoo,Dream,45.3,14.2,210,4700
Gentoo,Dream,49.2,15.0,215,4900
Gentoo,Dream,47.6,15.5,218,4650
Adelie,Biscoe,40.1,18.2,185,3650
Adelie,Biscoe,39.0,17.5,187,3750
Adelie,Biscoe,41.3,18.8,190,3850
Chinstrap,Biscoe,50.5,19.0,198,3950
Chinstrap,Biscoe,49.8,18.6,195,3700
Chinstrap,Biscoe,51.0,19.2,200,3850
Gentoo,Torgersen,46.0,14.8,214,4600
Gentoo,Torgersen,50.3,15.3,217,4950
Gentoo,Torgersen,48.5,15.7,222,4750
Adelie,Torgersen,39.4,18.1,183,3720
Adelie,Torgersen,38.9,17.6,188,3680
Adelie,Torgersen,40.7,18.4,192,3820